Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-06-29T21:49:20.258300
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-06-29T21:49:20.258413
Pants 4,7476960.0,3.3,3,XL,Men,2025-06-29T21:49:20.258516
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-06-29T21:49:20.258616
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-06-29T21:49:20.258714
Crewneck 7,6892000.0,4.3,3,M,Men,2025-06-29T21:49:20.258808
T-shirt 8,7802560.0,3.1,3,L,Women,2025-06-29T21:49:20.258899
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-06-29T21:49:20.258991
Pants 10,3100160.0,4.2,3,XXL,Men,2025-06-29T21:49:20.259126
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-06-29T21:49:20.259364
Crewneck 13,5447200.0,3.2,3,L,Men,2025-06-29T21:49:20.259454
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-06-29T21:49:20.259574
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-06-29T21:49:20.259667
Outerwear 17,841600.0,3.8,3,M,Women,2025-06-29T21:49:20.259949
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-06-29T21:49:20.260065
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-06-29T21:49:20.260154
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-06-29T21:49:20.260246
Pants 22,4319680.0,4.9,3,M,Men,2025-06-29T21:49:22.633928
Outerwear 23,4655840.0,3.7,3,L,Women,2025-06-29T21:49:22.634157
Jacket 24,8223520.0,3.9,3,XL,Unisex,2025-06-29T21:49:22.634346
Crewneck 25,8322560.0,3.3,3,XXL,Men,2025-06-29T21:49:22.634491
T-shirt 26,7292320.0,4.6,3,S,Women,2025-06-29T21:49:22.634631
Hoodie 27,3551840.0,4.8,3,M,Unisex,2025-06-29T21:49:22.634779
Pants 28,5216160.0,4.0,3,L,Men,2025-06-29T21:49:22.634923
Outerwear 29,861600.0,3.1,3,XL,Women,2025-06-29T21:49:22.635066
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2025-06-29T21:49:22.635211
T-shirt 32,6657920.0,3.4,3,M,Women,2025-06-29T21:49:22.635487
Hoodie 33,7248160.0,3.5,3,L,Unisex,2025-06-29T21:49:22.635623
Pants 34,8362720.0,3.8,3,XL,Men,2025-06-29T21:49:22.635783
